iteration,l1_loss,ssim,total_loss,ema_loss,num_gaussians
10600,0.1328034,0.3224701,0.3506940,0.2543041,575768
10700,0.1244058,0.2975656,0.3556172,0.3022486,575768
10800,0.0861798,0.6251065,0.2016653,0.1768545,575768
10900,0.1292972,0.3893477,0.3218393,0.2544423,575768
11000,0.0853794,0.5942520,0.2135269,0.2344147,575768
11100,0.1573760,0.4574788,0.3114341,0.2656535,619201
11200,0.0964223,0.5854412,0.2236769,0.2556224,619201
11300,0.0911390,0.6244782,0.2048921,0.2256307,619201
11400,0.1496973,0.3828014,0.3366978,0.2680356,619201
11500,0.1099291,0.6029333,0.2247842,0.2134224,619201
11600,0.1248695,0.4903803,0.2787696,0.2523799,619201
11700,0.1512059,0.3446097,0.3528796,0.2606158,619201
11800,0.0974936,0.6129739,0.2133066,0.1877305,619201
11900,0.0858959,0.7370192,0.1567299,0.2105557,619201
12000,0.0560603,0.7070453,0.1508180,0.1991069,619201
12100,0.0930829,0.7729073,0.1466868,0.2244853,619201
12200,0.1427473,0.4220082,0.3168451,0.2555631,619201
12300,0.0941784,0.6813860,0.1839527,0.2375062,619201
12400,0.0954844,0.4684021,0.2699298,0.2639912,619201
12500,0.1083680,0.7147590,0.1791172,0.1824668,619201
12600,0.1082374,0.3933519,0.3076017,0.2466037,619201
12700,0.1040524,0.5615809,0.2377991,0.2075085,619201
12800,0.1191608,0.3925549,0.3144746,0.2593536,619201
12900,0.1097839,0.8928729,0.1087212,0.2063858,619201
13000,0.0960743,0.6830866,0.1844099,0.1986189,619201
13100,0.0717585,0.7457968,0.1447364,0.2056589,619201
13200,0.1074536,0.5405022,0.2482713,0.2604371,619201
13300,0.1099609,0.6301628,0.2139114,0.2158601,633559
13400,0.0802068,0.7331802,0.1548520,0.1918119,633559
13500,0.1366311,0.3292573,0.3502757,0.2766148,633559
13600,0.1189957,0.5327033,0.2583161,0.2612578,633559
13700,0.1384851,0.4853508,0.2889508,0.2230423,633559
13800,0.1463560,0.3885512,0.3323931,0.2206933,633559
13900,0.0833840,0.8674787,0.1030389,0.1849806,633559
14000,0.0920217,0.6653969,0.1890543,0.2226772,633559
14100,0.1564520,0.3288380,0.3623360,0.2858679,633559
14200,0.2004222,0.6002471,0.2801545,0.2704551,633559
