image,colmap_image_id,width,height,valid_fraction,valid_psnr,valid_l1,comparison
L2PRO/camera_0/1778471306.866887_1.jpg,1,640,1108,0.920767994133574,26.274534497903893,0.027445057407021523,comparison/00_camera_0_1778471306.866887_1.jpg
L2PRO/camera_0/1778471413.300927_0.jpg,865,640,1108,0.7553925992779783,26.46297744204744,0.030383862555027008,comparison/01_camera_0_1778471413.300927_0.jpg
L2PRO/camera_0/1778471446.480387_0.jpg,1340,640,1108,0.9653471908844765,26.561972005304977,0.028955353423953056,comparison/02_camera_0_1778471446.480387_0.jpg
L2PRO/camera_0/1778471498.148401_0.jpg,2065,640,1108,0.7004103677797834,24.912451392980266,0.03543807938694954,comparison/03_camera_0_1778471498.148401_0.jpg
L2PRO/camera_0/1778471562.208772_1.jpg,3026,640,1108,1.0,30.044282505799828,0.020128900185227394,comparison/04_camera_0_1778471562.208772_1.jpg
L2PRO/camera_0/1778471647.555978_3.jpg,4293,640,405,1.0,25.884992845040273,0.034566543996334076,comparison/05_camera_0_1778471647.555978_3.jpg
L2PRO/camera_0/1778471731.604002_1.jpg,5556,640,1108,1.0,23.342031259671316,0.04275998845696449,comparison/06_camera_0_1778471731.604002_1.jpg
L2PRO/camera_0/1778471777.275760_3.jpg,6193,640,405,1.0,25.924710141826374,0.03258178383111954,comparison/07_camera_0_1778471777.275760_3.jpg
L2PRO/camera_0/1778471853.028918_4.jpg,7324,640,405,0.9009452160493827,28.327364205605953,0.02572210133075714,comparison/08_camera_0_1778471853.028918_4.jpg
L2PRO/camera_0/1778471919.387879_4.jpg,8314,640,405,0.8640007716049383,29.90323487389258,0.02128366380929947,comparison/09_camera_0_1778471919.387879_4.jpg
L2PRO/camera_0/1778471995.240991_2.jpg,9417,640,1108,1.0,26.059312606497713,0.030444933101534843,comparison/10_camera_0_1778471995.240991_2.jpg
L2PRO/camera_0/1778472049.307560_4.jpg,10224,640,405,0.8835686728395061,30.7083203030055,0.017447322607040405,comparison/11_camera_0_1778472049.307560_4.jpg
L2PRO/camera_0/1778472102.974381_1.jpg,10996,640,1108,0.9912384363718412,25.071937787680657,0.037664808332920074,comparison/12_camera_0_1778472102.974381_1.jpg
L2PRO/camera_0/1778472185.023657_0.jpg,12210,640,1108,0.9102182987364621,26.98201416147503,0.027294667437672615,comparison/13_camera_0_1778472185.023657_0.jpg
L2PRO/camera_0/1778472241.988438_0.jpg,13055,640,1108,1.0,24.49851519702254,0.033925145864486694,comparison/14_camera_0_1778472241.988438_0.jpg
L2PRO/camera_0/1778472303.450440_1.jpg,13941,640,1108,1.0,23.52876978389087,0.039975475519895554,comparison/15_camera_0_1778472303.450440_1.jpg
L2PRO/camera_0/1778472374.806326_4.jpg,15009,640,405,0.7944637345679012,26.03963630869299,0.027881858870387077,comparison/16_camera_0_1778472374.806326_4.jpg
L2PRO/camera_0/1778472434.269561_4.jpg,15819,640,405,0.8282484567901235,26.111181630702177,0.030357252806425095,comparison/17_camera_0_1778472434.269561_4.jpg
L2PRO/camera_0/1778472500.728481_3.jpg,16763,640,405,1.0,26.94502933188525,0.02983657829463482,comparison/18_camera_0_1778472500.728481_3.jpg
L2PRO/camera_0/1778472547.099807_4.jpg,17454,640,405,0.8979861111111112,29.416630884956113,0.02148633636534214,comparison/19_camera_0_1778472547.099807_4.jpg
